Ranking_Efectividad_Bajo_Presion,Jugador,Efectividad_bajo_presion,Break_Points_Covertidos_pct,Break_Points_Salvados_pct,Tie_Break_Ganados_pct,Victorias_Sets_Definitivos_pct
6,Borna Coric,261.5,43.3,68.2,50.0,100.0
10,Marin Cilic,257.4,32.1,78.6,80.0,66.7
13,Karen Khachanov,251.9,39.7,65.5,80.0,66.7
17,Nick Kyrgios,244.1,42.9,67.4,53.8,80.0
20,Frances Tiafoe,239.8,41.2,73.6,75.0,50.0
23,Roberto Bautista Agut,236.9,47.4,89.5,0.0,100.0
24,Novak Djokovic,235.5,37.6,72.9,75.0,50.0
25,Stefanos Tsitsipas,229.9,39.1,62.2,28.6,100.0
42,Cameron Norrie,203.9,33.3,70.6,0.0,100.0
53,Grigor Dimitrov,191.9,26.7,65.2,0.0,100.0
60,Pablo Carreno Busta,188.3,30.0,58.3,100.0,0.0
64,Matteo Berrettini,184.9,31.3,53.6,0.0,100.0
67,Taylor Fritz,183.3,45.8,62.5,75.0,0.0
76,Rafael Nadal,171.3,42.6,78.7,0.0,50.0
81,Daniil Medvedev,158.2,51.1,57.1,50.0,0.0
87,Denis Shapovalov,149.4,32.7,66.7,0.0,50.0
92,Daniel Evans,133.4,66.7,66.7,0.0,0.0
93,Alexander Zverev,133.3,33.3,50.0,0.0,50.0
96,Alex de Minaur,123.4,25.5,57.9,40.0,0.0
102,Diego Schwartzman,110.3,52.0,58.3,0.0,0.0
118,Hubert Hurkacz,75.0,0.0,75.0,0.0,0.0
