Ranking_Efectividad_Resto,Jugador,Efectividad_al_resto,Restos_Primer_Saque_pct,Restos_Segundo_Saque_pct,Games_Resto_pct,Break_Points_Covertidos_pct
1,Rafael Nadal,189.7,41.4,56.1,43.9,48.3
2,Novak Djokovic,174.6,35.5,51.6,33.0,54.5
3,Diego Schwartzman,172.6,35.2,57.0,34.8,45.6
12,Alejandro Davidovich Fokina,159.7,33.6,52.6,27.3,46.2
15,Daniil Medvedev,158.6,34.2,53.3,29.7,41.4
18,Marin Cilic,157.4,33.2,50.8,26.7,46.7
19,Stefanos Tsitsipas,157.2,35.6,49.9,28.9,42.8
21,Alexander Zverev,156.6,35.8,49.2,30.1,41.5
25,Roberto Bautista Agut,155.8,31.1,53.9,27.7,43.1
26,Casper Ruud,154.3,30.6,50.3,26.8,46.6
29,Francisco Cerundolo,151.2,34.6,43.5,23.1,50.0
30,Andrey Rublev,150.9,30.1,54.7,25.5,40.6
35,Nick Kyrgios,147.2,17.3,45.0,13.5,71.4
43,Karen Khachanov,143.8,32.9,46.7,23.0,41.2
45,Miomir Kecmanovic,143.3,26.9,44.2,24.4,47.8
46,Matteo Berrettini,142.8,30.8,50.3,24.0,37.7
47,Jannik Sinner,142.5,31.9,47.5,24.0,39.1
50,Grigor Dimitrov,140.7,28.8,50.1,23.7,38.1
53,Felix Auger-Aliassime,140.0,30.8,48.4,21.3,39.5
54,Cameron Norrie,139.7,27.4,48.7,21.0,42.6
60,Pablo Carreno Busta,137.7,28.4,53.3,22.4,33.6
61,Borna Coric,137.3,32.5,46.6,23.2,35.0
65,Daniel Evans,135.4,34.7,51.4,23.5,25.8
67,Frances Tiafoe,133.9,30.2,46.5,17.9,39.3
68,Taylor Fritz,129.0,28.4,50.8,18.8,31.0
71,Hubert Hurkacz,127.4,28.1,42.8,15.9,40.6
73,Denis Shapovalov,119.1,27.5,47.4,14.4,29.8
74,Alex de Minaur,117.8,30.8,45.1,16.9,25.0
76,Tommy Paul,91.1,23.1,29.7,5.0,33.3
